निर्मला,निरमला
चौकी,चउकी
रेशम,रेसम
डॉयरेक्टर,डारेक्टर
घेराना,घेराइल
जैसी,जइसी
दोहरावते,दोहरावत
केन्द्र,केन्द्र
आमरण,आमरन
बीता,बीतत
उनसे,ओनसे
सब्जी,सब्जी
चौपाल,चउपाल
तैयारी,तइयारी
दिखाना,देखावल
तल्ला,तल्ला
गर्म,गरम
तामीर,तमीर
मूर्छा,मूरछा
सिखाना,सिखावल
चौरस,चौरस
सवारी,सवारी
पब्लिक,पब्लिक
पड़ना,परल
गिन्ती,गिनती
सस्ता,ससता
सवैया,सवइया
पार्टनर,पाटनर
लड़का,लड़िका
बातों,बातन
दुसरा,दोसरा
सुल्तान,सोलतान
भौजीयों,भउजियन
सरस्वती,सरसती
विश्वास,बिसवास
फिल्मी,फिल्मी
साम्राज्य,समराज्य
कैरियर,करियर
डिस्कवरी,डिसकवरी
लम्बाई,लम्माई
पोषण,पोषन​
रहता,रहत
हमदर्द,हमदर्द
माथा,माथा
विरोध,बिरोध
शरीर,सरीर​
चोटी,चोटि
कोसों,कोसन
कोचिंग,कोचिंग
उम्र,उमर
दौड़,दउर​
मौसा,मउसा
अर्चना,अरचना
आदरपूर्वक,आदरपूरवक
थोडाही,थोरही
प्रवेश,परवेस
पूरब,पूरूब
रुसना,रुसल
पांचवी,पाचवी
परिषद,परिसद
आयशा,आयसा
विदेशी,बिदेसि
पाया,पावल
स्वभाविक,सोभाविक
ट्रैक्टर,टेक्टर
घास,घासि
एकत्र,एकत्र
फॉर्म,फॉरम
औकात,अउकात
नंदी,नन्दी
गुप्त,गुप्त
प्रगट,प्रगट
वस्तुनिष्ठ,ब​स्तुनिष्ठ
शीर्षक,सीरषक
लहकाना,लहकावल
युगल,जुगल
टैक्स,टेक्स
उम्मीद​,उमेद
डरवाना,डरवावल
भीषण,भीसन
उन,ओन
निरहुवा,निरहुआ
सजाना,सजावल
कुश्ती,कुश्ती
गुंथल,गूँथल
दीर्घ,दीर्घ
फूहड़,फूहर
ग्रहण,गरहन
बिलखना,बिलखल
उपन्यासों,उपन्यासन
धुरियाना,धुरियाइल
भैस,भइँस
गरुणपुराण,गरुनपुरान
उपस्थित,ओपस्थित
चाणक्य,चाणक्य
योद्धा,जोद्धा
कण,कन
गवाही,गबाही
दौर,दौर
बराबर,बरोबर
भर्ती,भरती
धुँअसना,धुँअसल
प्रतिभा,परतिभा
पेशेवर,पेसेवर
टिकाऊ,टिकाऊ
बौखला,बउखला
किटाणु,किटानु
वालों,वालन
खलिहान,खरिहान
इलाका,इलाका
बैसाख,बइसाख
बसा,बसल​
अर्थात्,अरथात
कॉपी,कापी
नक्शा,नक्सा
शुक,सुक
बसना,बसल
प्रतिदिन,परतिदिन
निपुण,निपुण
चित्रित,चित्रित
जगह,जगे
उत्पादन,उतपादन
आर्थिक,आरथिक
ब्यार​,बेयार
टोकना,टोकल
सिशम,सीसम
फिराक,फिराक
विगत,बिगत
भषियों,भासियन
भाइयों,भाईयन
फटकना,फटकल
विदेशियों,बिदेसियन​
बगीचा,बगइचा
अस्तित्व,असतित्व
दर्जनो,दरजनो
तमाशा,तमासा
पहचानना,पहचानल
मुहावरा,मोहावरा
गर्मी,गरमी
फटा,फटल
लटकना,लटकल
फर्माइश,फरमाइस
उस्ताद,ओस्ताद
दुबला,दुबर
सूर्यास्त,सूरयास्त
कलेजा,करेजा
पुकारना,पुकारल
चमरौटी,चमरउटी
रचनाकारों,रचनाकारन
अधिकारी,अधकारी
ट्रक,टरक
चित्रण,चित्रन
नपुंसक,नन्पुसक
कारण,कारन
काल्पनिक,कालपनिक
चर्बी,चरबी
शायद,सायद
उत्साह,ओतसाह
विचारशील,बिचारसील
चश्मा,चसमा
किताब,केताब
नाउम्मीदी,नाउमीदी
अपवर्ग,अपवर्ग
हारना,हारल
विनय,बिनय
प्रतित,परतीत
चिन्ह,चीन्ह
तीनगुणा,तीनगुना
सर्कस,सरकस
घंटी,घन्टी
चरणामृत,चरनाइमिरित
काट,काट
पटाना,पटावल
लदना,लदल
गर्म​,गरम
तब्दीली,तबदीली
बेशक,बेसक
मनाना,मनावल
उजड़ा,उजरा
पुस्तकालय,पुसतकालय
चूका,चूकल
पीत्तल,पित्तर
चालीस,चालिस
शिविर,सिविर​
नर्म,नरम
प्रेस,परेस
वसूलों,वसूलन
प्याज,पियाज
बाईस,बाइस
य​मुना,जमुना
वर्दी,बरदी
बर्खास्त,बरखास्त
गर्म,गरम
गिरफ्तार,गिरफतार
खातिर,खाति
मौसी,मउसी
वैकल्पिक,बैकल्पिक
जाने,जनले
मनोदशा,मनोदसा
फैशन,फइसन
मुनासिब,मोनासिब
अमिताभ,अमता
बैग,बेग
गला,गलल
प्रमुख,परमुख
रसगुल्ला,रसगुल्ला
ज्ञान,ग्यान
जैसे,जइसे
तसल्ली,तसल्ली
अर्पण,अरपन​
शोहरत,सोहरत
देवदुर्लभ,देवदुरलभ
ख़ूबसूरत,ख़ोबसूरत
भाषावों,भासावन
आशीर्वाद,आसीरवाद
घिसकना,घिसकल
बोलना,बोलल
बिलगाना,बेलगावल
बद्री,बदरी
वैद,वैद
घिनौना,घिनउना
बैलेट,बैलेट
स्याही,सेयाही
प्वाइंट,पवाइन्ट
कार्यकारी,कार्यकारी
केन्द्रित,केन्दरीकृत
लिहाज,लेहाज
पंडाल,पन्डाल
सुविधा,सोबिधा
विचलित,बिचलित
विद्यालयों,बिद्यालयन
घुटना,घुटना
नैना,नैना
खौलता,खउलता
झपक,झपक
खुश,खुस
दुहराना,दोहरावल
परखना,परखना
कमाना,कामाइल
सांसद,सान्सद
जमींदार,जमीदार
वश,बस​
दुर्घटना,दुरघटना
फिज़ा,फिजा
पाना,पावल
अस्वीकार,अस्वीकार
कांफ्रेंस,कान्फ्रेन्स
श्राप,सराप
छिपा,छुपल
चमकना,चमकल
प्यास,पियास​
जरूरत,जरूरत
शिविर,सिविर
पूर्वा,पुरवइया
चर्चित,चरचित
प्रेमशीला,परेमसीला
शिष्या,सिष्या
सल्ट,सल्ट
सामाजिक,समाजिक
शिवाला,सिवाला
वातावरण,वातावरन
प्रेमसे,परेमसे
काटना,काटल
परेशान,परेसान
फिर​,फेर
विलेन,विलेन
खिसकना,खिसकल
शुद्ध,सुद्ध
पैदा,पइदा
ठुकराना,ठोकरावल​
टेन्शन,टेन्सन
सोचना,सोचल
ग्रहण,गरहन​
छवाना,छ्वाइल
छोड़,छोर
आराम,अराम
गुजरा,गुजरल
अर्थव्यवस्था,अर्थव्यवस्था
गणना,गनना
तौल,तउल
ग्लोबल,ग्लोबल
राजनीति,राजनीति
चौखट,चउकठ
मामला,मामिला
सूखा,सूखल
तब्दील,तबदील
सौतेला,सव​तेला
मुस्कुराहट,मुसकुराहट
स्कूल,ईस्कूल
सुरूज,सुरूज
लिखाना,लिखावल
उदर,ओदर
बेसुध,बेसुध
विषय,बिसय
प्रेमरस,परेमरस
संकोच,सन्कोच
दुरूपयोग,दोरूपयोग
बार,बेर
दुश्मन,दुसमन
ठनकना,ठनकल
और,अउर
सत्याग्रह,सत्यागरह
विरोधाभाषी,बिरोधाभासी
बॉक्स,बाक्स
ठूंसना,ठून्सल
प्रसिद्ध,परसिद्ध
सुबह,सुबे
दुश्मनी,दुसमनी
मनमुटाव,मनमोटाव
जला,जरल
सादर,सादर
प्रलय,परलय
विभाग,बिभाग
चौदह,चउदह
वही,ओहीं
जगह,जगे
उपयोगी,उपयोगी
सिंदूर,सेनूर
वरिष्ठ,ब​रिष्ठ
सींढ़ी,सींरी
फैल,फइल
लकड़ी,लकड़ी
शागीर्द,सागीर्द
बन्दूक,बनदूख​
जताते,जतावत
भोजन,भोजन
हुक्का,हुक्का
प्रण,प्रन​
अतिरिक्त,अतिरिक्त
सौ,सव​
पहलेहीं,पहिलहीं
जायदाद,जायदाद
सामग्री,सामग्री
थैरेपी,थेरेपी
बचपन​,बचवन
ऋतु,रितु
चौकबंदी,चउकबन्दी
अँखुआते,अँखुआवत
चैनल,चैनल
स्याही,साही
नवनिर्माण,नवनिर्मान
संदेशा,सनेसा
प्रदर्शित,परदरसित
गजब,गजबे
उनका,ओनका
ठंडा,ठन्डा
स्वाभाविक,सोभाविक
सिशम,सीसम
गणना,गनना
हिन्दू,हिन्दू
विकृति,बिकृति
कमाना,कमावल​
सुदर्शन,सुदरसन
बेचारों,बेचारन
बढ़ई,बढइ
शारदा,सारदा
निराशा,निरासा
पड़ा,परल
चौपट,चउपट
इक्कीस,एकइस
टिकट,टिकटवा
खजाना,खजाना
अलमारी,आलमारी
मेट्रो,मेटरो
पेड़ा,पेड़ा
गुस्सा,गुस्सा
येयाद,ईयाद
व्यावसायिक,बेवसायिक
चौसठ,चँउसठ
फाँसी,फासी
पेंशन,पेन्सन
कुर्ता,कुरता
गड़ना,गड़ल
सुखना,सुखाइल
परोसना,परोसल
प्रचार,परचार
घबड़ाना,घबरड़ाइल
चाँदी,चादी
बद्रिधाम,बदरीधाम
इन,एह
बहन,बहिन
नाश्ता,नास्ता
हर्ज,हरज
चमत्कार,चमतकार
जुल्म​,जुलुम
कुटना,कुटल
सिनेमा,सनीमा
सजाया,सजावल
प्रोजेक्ट,प्रोजेक्ट
हुसैन,होसैन
बहा,बहावल
सेंटीमीटर,सेन्टीमीटर
कसकना,कसकल
डकैती,डकेती
प्रभाव,परभाव
कौर,कवर
बस्ती,बस्ती
पृथ्वी,पृथ्बी
मनशोख,मनसोख
जोशी,जोसी
मवेशी,मवेसी
खत्म,खतम
वनवास,बनवास
भूगोल,भूगोल
अनंत,अनन्त
जोड़,जोर
अंश,अन्स
बुजुर्ग,बुजुर्ग
अर्थारोपण,अरथारोपन​
चश्मा,चसमा
प्रलयपयोधि,परलयपयोधि
स्फूर्त,ईस्फूर्त
अन्धेरा,अन्हेरा
पत्रिकाओं,पत्रिकन
​विधायक,बिधायक
चारवाहा,चरवाहा
जुड़ा,जुड़ल
चाहना,चाहल
आर्यकुल,आर्यकुल
बिगड़,बिगड़ल
टुटा,टूटल
शोर,सोर
ऊचा,ओचा
कीमती,कीमती
पोषक,पोस​क
सब्जियां,सबजि
दिशाबोध,दिसाबोध
उम्मीद,उमीद
शोषण,शोषन​
पुराना,पुरान
वेद,बेद
व्यक्तिगत,बेक्तिगत
उन्हें,उनहन
बचाते,बचावत
परिषद्,परिसद्
चंदा,चन्दा
निशान,निसान
रचना,रचल
शौचालय,स​व​चालय
माना,मानल
पालण,पालन​
वस्तुस्थिति,ब​स्तुस्थिति
बुद्धिजीवीयों,बुद्घिजीवियन
समाजसेवियों,समाजसेवियन
पछताना,पछ्ताइल
अतिक्रमण,अतिक्रमन​
इतना,एतना
बौछार,बव​छार
गधी,गदही
चौआ,चउआ
वेबसाईट,बेब​साइट
आते,आवत
परिवेश,परिवेस​
मौसम,मउसम
उम्मीद,उमेद
मुस्कि,मुस्कि
अर्जी,अरजी
गीतों,गीतन
सुधारना,सोधारल​
कशमकश,कशमकश
चुका,चुकल
भगवान,भगबान
दर्पण,दरपन
मालिस,मालिस
भौकी,भउकी
अँगूठी,अँगूठी
सितम्बर,सितम्बर
सोलह,सोरह
पाव,पाव
बहोर,बहोरल
हिन्दुस्तान,हिन्दोस्तान
रूबरू,रूबरू
कमाना,कमाइल
निकलना,निकलल
कृपा,किरपा
गोपीचंद,गोपीचन्द
शांति,सान्ति
तालाब,तलाब
द्रवित,द्रवित
विक्षेप,बिक्षेप
मिश्रा,मिशरा
निष्कर्ष,निस्​कर्ष
बहुतज्यादा,बहुतजादा
आरोपी,आरोपी
विधायक,बिधायक
इस्तेमाल,इसतेमाल
थैली,थइली
स्थल,स्थल
पुलिस,पोलिस
चतुर्दिक,चतुरदिक
पर्वत,परबत​
कार्बन,कारबन
निर्मल,निरमल
उन्हें,ओन्हे
पापड़,पापर
खैनी,खइनी
इकलौता,इकलउता
सेंक,सेक
नवजवान,नौजवान
फौजी,फउजी
जनप्रतिनिधि,जनपरतिनिधि
सोमवार,सोमार
सेलेक्शन,सलेक्स​न
अपराध,अपराध
घंटा,घन्टा
प्रेमशीला,परेमसीला
युवक​,जुवक
आज​,आजु
वसंत,बसन्त
फेंक,फेक
इस,एस
चौराहा,चउराहा
वोटरों,वोटरन
पौड़ी,पौड़ी
चेष्टा,चेष्टा
फण्ड,फन्ड
ड्रम,डरम
मुस्लिम,मुसलिम
घिसा,घिसल
महारानी,महरानी
पसरना,पसरल
वितर्क,वितरक
रौंद,रउँद
कारवाई,कारवाई
गोलों,गोलन
प्रतापशाह,परतापसाह
उर्वर,उरवर
मुजरिम,मोजरिम
हिन्दुवों,हिन्दुवन
महत्व,महोत्व
शादी,सादी
मुसाफिर,मोसाफिर
सूर्खी,सूरखी
पूर्ण,पूरन
गर्दा,गरदा
तानाशाह,तानासाह
प्रसार,परसार
समर्पित,समरपित
निशान,निसान
पोस्ट,पोस्ट
जाय​ज,जाएज
कुर्ता,कुरता
दोस्त,दोस्त
शिव,सिव
गरीबों,गरीबन
बोना,बोअल
चाहना,चाहल
अन्याय,अनेयाय
आकर्षण,आकरसन​
भड़कना,भड़कल
पंजीकरण,पन्जीकरण
निर्भीक,निरभीक
चोरों,चोरन
विचार,बिचार
दोस​हीन,दोषहीन
देखा,देखल
खरोंच,खरोच
धरती,धरति
जन्म,जनम
बताना,बतलावल​
गंभीर,गम्हीर
साहित्य,साहित्य
किस्सा,किसा
ऋण,रिण
नापसंद,नापसन​
ऑटो,आटो
राजविहीन,राजाबिहीन
खेलाना,खेलावल
पगड़ी,पगरी
कचड़ा,कचरा
प्रयुक्त,परयुक्त
ठंडी,ठन्डी
शरीफ,स​रीफ
फुटा,फूटल
सूखना,सूखल
आधारभूत,आधारभूत
सोमवार,सोमार
निशब्द,निसब्द
नौकरीवाला,नव​करीवाला
भाषी,भासी
राजनैतिक,राजनैतिक
उदाहरण,ओदाहरन​
आसरा,असरा
बबूल,बबूर
बैठाना,बइठावल
दर्जन,दरजन
शेरनी,से​रनी
कार्यक्रम,कारयकरम
बाण,बान
दिशा,दिसा
ड्राइबर,डराइबर
शनिचर,सनीचर
आशिक,आसिक
पसन्द,पसन
एसेही,अइसही
अख्तियार,अखतियार
कंधा,कन्धा
शमियाना,समियाना
ऑडिटर,आडिटर
धनुष,धनुस​
विकास,बिकास
वैवाहिक,बैवाहिक
बद्रीबाबा,बदरीबाबा
